Department,Status,Total,"Last Activity"
"WoT → Вопросы технического характера WoT → Общий тест 0.9.19","Need info",15,"5 days 17 hours 49 minutes"
"WoT → Вопросы технического характера WoT → Общий тест 0.9.19","Info Given",1,"0 days 23 hours 29 minutes"
"WoT → Вопросы технического характера WoT → Общий тест 0.9.19","In Queue",3,"0 days 02 hours 14 minutes"
"Blitz → Нарушения Правил игры Blitz → Причина блокировки: ""Chargeback issue""","Need info",43,"6 days 13 hours 53 minutes"
"WOWS → Вопросы технического характера WoWS → FPS и производительность в игре","Need info",22,"6 days 21 hours 24 minutes"
"WOWS → Вопросы технического характера WoWS → FPS и производительность в игре","On hold",2,"50 days 02 hours 24 minutes"
"Blitz → Вопросы по аккаунту Blitz → Проблема при авторизации","Need info",27,"7 days 00 hours 03 minutes"
"Blitz → Вопросы по аккаунту Blitz → Проблема при авторизации","On hold",3,"42 days 15 hours 31 minutes"
"Blitz → Вопросы по аккаунту Blitz → Проблема при авторизации","In Queue",8,"0 days 12 hours 23 minutes"
"Blitz → Вопросы по аккаунту Blitz → Проблема при авторизации","Info Given",1,"0 days 04 hours 09 minutes"
"Project Support Issues → Game Experts → Game Experts WoWP","In Queue",1,"11 days 10 hours 57 minutes"
"WoT → Вопросы по геймплею WoT → Ситуации в бою","Need info",124,"6 days 21 hours 49 minutes"
"WoT → Вопросы по геймплею WoT → Ситуации в бою","On hold",8,"7 days 21 hours 45 minutes"
"WoT → Вопросы по геймплею WoT → Ситуации в бою","In Queue",47,"0 days 12 hours 31 minutes"
"WoT → Вопросы по геймплею WoT → Ситуации в бою","Info Given",5,"0 days 10 hours 28 minutes"
"WoT → Вопросы по геймплею WoT → Ситуации в бою",Reopened,14,"0 days 12 hours 20 minutes"
"Project Support Issues → Events and HighLevel  → E&H WoT","On hold",2,"190 days 18 hours 25 minutes"
"Project Support Issues → Events and HighLevel  → E&H WoT","In Queue",3,"42 days 15 hours 57 minutes"
"Project Support Issues → Events and HighLevel  → E&H WoT",Reopened,1,"42 days 13 hours 55 minutes"
"WoT Sandbox → Игроки без доступа","Need info",2,"39 days 21 hours 49 minutes"
"WoT Sandbox → Игроки без доступа","On hold",1,"1 days 16 hours 31 minutes"
"Project Support Issues → Game Experts → Game Experts WoWS","On hold",1,"26 days 22 hours 17 minutes"
"Project Support Issues → Game Experts → Game Experts WoWS","Info Given",1,"0 days 09 hours 54 minutes"
"WoT → Вопросы по аккаунту WoT → Не приходит SMS","Need info",78,"6 days 22 hours 04 minutes"
"WoT → Вопросы по аккаунту WoT → Не приходит SMS","In Queue",9,"0 days 11 hours 23 minutes"
